combined_data
females,males,hispanic,not hispanic,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or more races,Age: [0-10],Age: [11-20],Age: [21-30],Age: [31-40],Age: [41-50],Age: [51-60],Age: [61-70],Age: [71-80],Age: [81-84],Age: [85]+,GDP Per Year (Normalized),Personal income per capita (Normalized),Personal Consumption expenditure per capita (Normalized),Presidential Approval Rating,GOP/Total Senate Seats pre-election,GOP/Total House Seats pre-election
5.11E-01,4.89E-01,2.51E-01,7.49E-01,7.76E-01,1.69E-01,4.94E-03,2.83E-02,1.11E-03,2.1E-02,1.2E-01,1.15E-01,1.31E-01,1.22E-01,1.26E-01,1.38E-01,1.21E-01,8.06E-02,1.94E-02,2.65E-02,941561.2,0.2867250674,0.3685407765,0.5,0.5,1
5.12E-01,4.88E-01,8.95E-02,9.1E-01,6.26E-01,3.14E-01,5.02E-03,3.58E-02,1.1E-03,1.85E-02,1.51E-01,1.43E-01,1.4E-01,1.36E-01,1.44E-01,1.28E-01,8.98E-02,4.45E-02,1.04E-02,1.25E-02,443566.1,0.08863432165,0.1071900649,0.46,1,0.6153846154
5.13E-01,4.87E-01,9.4E-02,9.06E-01,6.11E-01,3.21E-01,5.13E-03,4.08E-02,1.15E-03,2.07E-02,1.44E-01,1.39E-01,1.42E-01,1.33E-01,1.35E-01,1.32E-01,9.89E-02,5.18E-02,1.1E-02,1.35E-02,541292.2,0.2153638814,0.2317481787,0.49,1,0.7142857143
4.99E-01,5.01E-01,9.51E-02,9.05E-01,2.57E-01,1.9E-02,3.78E-03,3.85E-01,1.03E-01,2.33E-01,1.38E-01,1.19E-01,1.46E-01,1.28E-01,1.31E-01,1.37E-01,1.06E-01,5.44E-02,1.68E-02,2.45E-02,73676.7,0.2576370171,0.3457010236,0.64,0,0
4.98E-01,5.02E-01,1.04E-01,8.96E-01,2.6E-01,2.15E-02,3.9E-03,3.77E-01,1.02E-01,2.36E-01,1.35E-01,1.12E-01,1.45E-01,1.34E-01,1.2E-01,1.3E-01,1.16E-01,6.28E-02,1.57E-02,2.81E-02,85899.9,0.401212938,0.5003842489,0.57,0,0
4.99E-01,5.01E-01,1.16E-01,8.84E-01,9.39E-01,7.44E-03,1.7E-02,1.35E-02,1.83E-03,2.17E-02,1.62E-01,1.45E-01,1.36E-01,1.26E-01,1.23E-01,1.29E-01,9.73E-02,5.16E-02,1.26E-02,1.65E-02,57780.1,0.04227313567,0.06842703882,0.34,1,1
4.99E-01,5.01E-01,1.24E-01,8.76E-01,9.33E-01,8.63E-03,1.76E-02,1.52E-02,2.06E-03,2.37E-02,1.54E-01,1.44E-01,1.34E-01,1.29E-01,1.16E-01,1.25E-01,1.09E-01,5.95E-02,1.29E-02,1.67E-02,69075.5,0.1630503145,0.201715287,0.32,1,1
5.09E-01,4.91E-01,1.62E-01,8.38E-01,7.78E-01,1.48E-01,5.77E-03,5.05E-02,6E-04,1.75E-02,1.4E-01,1.38E-01,1.4E-01,1.32E-01,1.38E-01,1.36E-01,9.23E-02,5.01E-02,1.42E-02,1.94E-02,720881.5,0.2862084456,0.2908917648,0.52,0.5,0.5789473684
5.09E-01,4.91E-01,1.69E-01,8.31E-01,7.72E-01,1.47E-01,5.81E-03,5.58E-02,6.43E-04,1.93E-02,1.35E-01,1.31E-01,1.4E-01,1.34E-01,1.28E-01,1.37E-01,1.05E-01,5.64E-02,1.37E-02,2.06E-02,803943.7,0.4292228212,0.441486582,0.59,0.5,0.4444444444
5.08E-01,4.92E-01,6.25E-02,9.38E-01,8.65E-01,9.46E-02,3.86E-03,1.86E-02,5.73E-04,1.78E-02,1.44E-01,1.42E-01,1.34E-01,1.25E-01,1.35E-01,1.38E-01,9.61E-02,5.22E-02,1.43E-02,1.87E-02,297816.1,0.1353324349,0.1489041222,0.41,1,0.6666666667
5.07E-01,4.93E-01,6.77E-02,9.32E-01,8.56E-01,9.72E-02,4E-03,2.27E-02,6.26E-04,2E-02,1.4E-01,1.38E-01,1.37E-01,1.25E-01,1.25E-01,1.37E-01,1.08E-01,5.78E-02,1.37E-02,1.96E-02,337217.2,0.2327942498,0.2547416311,0.43,0.5,0.7777777778
5.04E-01,4.96E-01,5.29E-02,9.47E-01,9.26E-01,3.18E-02,4.71E-03,2.06E-02,8.84E-04,1.59E-02,1.41E-01,1.39E-01,1.33E-01,1.19E-01,1.28E-01,1.4E-01,9.84E-02,5.83E-02,1.75E-02,2.53E-02,157838.6,0.2155660377,0.182318404,0.5,0.5,0.4
5.03E-01,4.97E-01,5.87E-02,9.41E-01,9.13E-01,3.72E-02,5.17E-03,2.51E-02,1.18E-03,1.81E-02,1.4E-01,1.36E-01,1.34E-01,1.25E-01,1.16E-01,1.36E-01,1.11E-01,6.13E-02,1.63E-02,2.55E-02,179939.8,0.2973719677,0.2887092312,0.44,1,0.75
5.03E-01,4.97E-01,1.09E-01,8.91E-01,8.72E-01,6.17E-02,1.17E-02,2.64E-02,9.71E-04,2.69E-02,1.53E-01,1.42E-01,1.4E-01,1.23E-01,1.27E-01,1.35E-01,9.22E-02,5.16E-02,1.54E-02,2.15E-02,140764.1,0.2653189578,0.1583412745,0.38,1,1
5.02E-01,4.98E-01,1.17E-01,8.83E-01,8.66E-01,6.19E-02,1.18E-02,3.07E-02,1.13E-03,2.88E-02,1.48E-01,1.39E-01,1.4E-01,1.28E-01,1.15E-01,1.32E-01,1.05E-01,5.61E-02,1.46E-02,2.23E-02,159232.8,0.3163072776,0.2695890074,0.41,1,1
5.08E-01,4.92E-01,3.25E-02,9.67E-01,8.86E-01,8.07E-02,2.84E-03,1.28E-02,7.63E-04,1.66E-02,1.39E-01,1.32E-01,1.34E-01,1.28E-01,1.39E-01,1.4E-01,1.02E-01,5.53E-02,1.39E-02,1.68E-02,176323.1,0.05494159928,0.07847898927,0.39,1,0.6666666667
5.07E-01,4.93E-01,3.57E-02,9.64E-01,8.79E-01,8.3E-02,2.98E-03,1.52E-02,8.37E-04,1.88E-02,1.36E-01,1.29E-01,1.36E-01,1.26E-01,1.27E-01,1.4E-01,1.13E-01,6.13E-02,1.39E-02,1.79E-02,195840.2,0.1447888589,0.1913251975,0.38,1,0.8333333333
5.11E-01,4.89E-01,4.52E-02,9.55E-01,6.36E-01,3.25E-01,7.48E-03,1.67E-02,6.04E-04,1.44E-02,1.47E-01,1.35E-01,1.5E-01,1.26E-01,1.31E-01,1.36E-01,9.47E-02,5.09E-02,1.32E-02,1.54E-02,233481.2,0.1627583109,0.1122928899,0.42,0.5,0.8571428571
5.11E-01,4.89E-01,5.04E-02,9.5E-01,6.31E-01,3.27E-01,7.7E-03,1.78E-02,6.22E-04,1.64E-02,1.45E-01,1.29E-01,1.47E-01,1.33E-01,1.19E-01,1.35E-01,1.07E-01,5.66E-02,1.31E-02,1.68E-02,223409.5,0.2070979335,0.2109372598,0.43,1,0.8333333333
5.1E-01,4.9E-01,1.37E-02,9.86E-01,9.53E-01,1.34E-02,6.74E-03,1.1E-02,3.09E-04,1.55E-02,1.14E-01,1.24E-01,1.15E-01,1.12E-01,1.46E-01,1.62E-01,1.22E-01,6.44E-02,1.8E-02,2.33E-02,52866.6,0.1567610063,0.3436721896,0.5,1,0
5.1E-01,4.9E-01,1.6E-02,9.84E-01,9.48E-01,1.55E-02,7.04E-03,1.23E-02,3.53E-04,1.71E-02,1.1E-01,1.17E-01,1.18E-01,1.14E-01,1.28E-01,1.6E-01,1.38E-01,7.39E-02,1.79E-02,2.48E-02,59754.2,0.2588499551,0.477206357,0.53,0.5,0.5
5.16E-01,4.84E-01,8.68E-02,9.13E-01,6.06E-01,3.02E-01,5.42E-03,5.98E-02,9.62E-04,2.53E-02,1.36E-01,1.33E-01,1.38E-01,1.28E-01,1.48E-01,1.42E-01,9.57E-02,4.84E-02,1.31E-02,1.79E-02,334555.5,0.4546046721,0.3733054625,0.58,0,0.25
5.15E-01,4.85E-01,9.78E-02,9.02E-01,5.93E-01,3.07E-01,5.8E-03,6.48E-02,1.08E-03,2.78E-02,1.35E-01,1.26E-01,1.36E-01,1.32E-01,1.32E-01,1.45E-01,1.06E-01,5.57E-02,1.29E-02,1.92E-02,387620.2,0.5773360288,0.5086840245,0.6,0,0.125
5.15E-01,4.85E-01,1.03E-01,8.97E-01,8.34E-01,8.05E-02,4.68E-03,5.93E-02,9.39E-04,2.06E-02,1.22E-01,1.34E-01,1.41E-01,1.24E-01,1.46E-01,1.42E-01,9.92E-02,5.25E-02,1.59E-02,2.3E-02,444478.2,0.5396451033,0.5699794043,0.56,0.5,0
5.15E-01,4.85E-01,1.15E-01,8.85E-01,8.17E-01,8.66E-02,4.78E-03,6.71E-02,1.02E-03,2.37E-02,1.17E-01,1.29E-01,1.45E-01,1.27E-01,1.3E-01,1.45E-01,1.1E-01,5.88E-02,1.48E-02,2.34E-02,519143.5,0.7281446541,0.7365282346,0.62,0,0
5.09E-01,4.91E-01,4.63E-02,9.54E-01,8.01E-01,1.43E-01,7.08E-03,2.69E-02,3.67E-04,2.17E-02,1.32E-01,1.4E-01,1.29E-01,1.18E-01,1.39E-01,1.47E-01,1.03E-01,5.49E-02,1.56E-02,2.06E-02,418742.3,0.1291778976,0.2101072823,0.51,0,0.6666666667
5.08E-01,4.92E-01,4.99E-02,9.5E-01,7.95E-01,1.42E-01,7.26E-03,3.15E-02,3.97E-04,2.37E-02,1.28E-01,1.32E-01,1.36E-01,1.18E-01,1.25E-01,1.45E-01,1.17E-01,6.23E-02,1.46E-02,2.15E-02,488962.6,0.2544699012,0.3424425932,0.51,0,0.6428571429
5.03E-01,4.97E-01,4.89E-02,9.51E-01,8.64E-01,5.61E-02,1.31E-02,4.42E-02,5.82E-04,2.22E-02,1.43E-01,1.34E-01,1.35E-01,1.26E-01,1.38E-01,1.43E-01,9.4E-02,5.1E-02,1.46E-02,2.1E-02,296272.5,0.3268418688,0.3560603732,0.5,0,0.5
5.02E-01,4.98E-01,5.28E-02,9.47E-01,8.48E-01,6.41E-02,1.36E-02,4.93E-02,6.76E-04,2.43E-02,1.41E-01,1.3E-01,1.33E-01,1.33E-01,1.22E-01,1.42E-01,1.07E-01,5.67E-02,1.4E-02,2.17E-02,341696.3,0.4441823899,0.4794196305,0.52,0,0.375
5.14E-01,4.86E-01,2.82E-02,9.72E-01,5.99E-01,3.74E-01,5.77E-03,9.47E-03,5.54E-04,1.09E-02,1.49E-01,1.43E-01,1.39E-01,1.25E-01,1.31E-01,1.33E-01,9.66E-02,5.41E-02,1.35E-02,1.59E-02,99616.3,0,0,0.44,1,0.75
5.15E-01,4.85E-01,3.11E-02,9.69E-01,5.93E-01,3.78E-01,6.06E-03,1.04E-02,5.8E-04,1.25E-02,1.44E-01,1.38E-01,1.39E-01,1.26E-01,1.22E-01,1.33E-01,1.08E-01,5.98E-02,1.35E-02,1.71E-02,106492.9,0.05309973046,0.08195259906,0.44,1,0.75
5.1E-01,4.9E-01,3.73E-02,9.63E-01,8.38E-01,1.18E-01,5.28E-03,1.8E-02,1.31E-03,1.99E-02,1.39E-01,1.35E-01,1.37E-01,1.23E-01,1.33E-01,1.4E-01,1.01E-01,5.72E-02,1.54E-02,2E-02,268861.9,0.1532569632,0.2243398604,0.41,0.5,0.6666666667
5.09E-01,4.91E-01,4.09E-02,9.59E-01,8.32E-01,1.19E-01,5.59E-03,2E-02,1.43E-03,2.23E-02,1.36E-01,1.29E-01,1.37E-01,1.26E-01,1.2E-01,1.4E-01,1.11E-01,6.3E-02,1.53E-02,2.13E-02,297752.6,0.2473045822,0.3227075712,0.43,0.5,0.75
4.98E-01,5.02E-01,3.2E-02,9.68E-01,8.96E-01,5.44E-03,6.57E-02,7.17E-03,7.67E-04,2.44E-02,1.33E-01,1.29E-01,1.33E-01,1.16E-01,1.24E-01,1.54E-01,1.14E-01,5.98E-02,1.59E-02,2.09E-02,42041.6,0.1574797844,0.2430297255,0.37,0,1
4.97E-01,5.03E-01,3.73E-02,9.63E-01,8.91E-01,5.72E-03,6.7E-02,8.65E-03,8.59E-04,2.66E-02,1.32E-01,1.23E-01,1.35E-01,1.24E-01,1.11E-01,1.42E-01,1.3E-01,6.77E-02,1.5E-02,2.17E-02,45680.3,0.2407008086,0.3504657096,0.37,0.5,1
5.03E-01,4.97E-01,9.7E-02,9.03E-01,8.98E-01,4.81E-02,1.35E-02,2.01E-02,1.15E-03,1.89E-02,1.53E-01,1.39E-01,1.38E-01,1.25E-01,1.26E-01,1.35E-01,9.25E-02,5.29E-02,1.6E-02,2.21E-02,102605.3,0.2977088949,0.2460422366,0.37,0.5,1
5.01E-01,4.99E-01,1.06E-01,8.94E-01,8.87E-01,5.06E-02,1.48E-02,2.51E-02,1.18E-03,2.13E-02,1.51E-01,1.38E-01,1.37E-01,1.31E-01,1.15E-01,1.31E-01,1.05E-01,5.59E-02,1.49E-02,2.26E-02,116879.2,0.3662848158,0.3557529741,0.43,1,0.6666666667
4.96E-01,5.04E-01,2.72E-01,7.28E-01,7.71E-01,8.91E-02,1.62E-02,7.83E-02,7.23E-03,3.8E-02,1.44E-01,1.29E-01,1.42E-01,1.38E-01,1.41E-01,1.29E-01,1.02E-01,5.22E-02,1.15E-02,1.23E-02,127789.1,0.1426549865,0.2622114291,0.46,0.5,0.6666666667
4.98E-01,5.02E-01,2.84E-01,7.16E-01,7.53E-01,9.65E-02,1.66E-02,8.42E-02,7.66E-03,4.23E-02,1.39E-01,1.23E-01,1.4E-01,1.38E-01,1.32E-01,1.3E-01,1.1E-01,6.16E-02,1.21E-02,1.39E-02,150287.3,0.270507637,0.3989425471,0.49,0.5,0.75
5.06E-01,4.94E-01,3.05E-02,9.7E-01,9.43E-01,1.37E-02,2.77E-03,2.48E-02,4.18E-04,1.51E-02,1.17E-01,1.36E-01,1.19E-01,1.14E-01,1.54E-01,1.61E-01,1.1E-01,5.39E-02,1.49E-02,2.04E-02,67635.7,0.3972821204,0.5154468046,0.46,0.5,1
5.05E-01,4.95E-01,3.56E-02,9.64E-01,9.35E-01,1.6E-02,2.9E-03,2.89E-02,4.43E-04,1.67E-02,1.1E-01,1.26E-01,1.27E-01,1.15E-01,1.33E-01,1.63E-01,1.26E-01,6.31E-02,1.5E-02,2.21E-02,78509,0.5212264151,0.6846085273,0.47,0.5,0.5
5.13E-01,4.87E-01,1.85E-01,8.15E-01,7.38E-01,1.47E-01,5.78E-03,8.9E-02,9.38E-04,1.95E-02,1.34E-01,1.32E-01,1.26E-01,1.28E-01,1.5E-01,1.42E-01,9.63E-02,5.29E-02,1.57E-02,2.16E-02,519569,0.5004267745,0.5157849436,0.55,0,0.4615384615
5.12E-01,4.88E-01,1.99E-01,8.01E-01,7.26E-01,1.49E-01,5.93E-03,9.57E-02,1.04E-03,2.16E-02,1.3E-01,1.27E-01,1.28E-01,1.28E-01,1.36E-01,1.47E-01,1.07E-01,5.92E-02,1.48E-02,2.28E-02,581504.4,0.6633872417,0.6743721373,0.57,0,0.5
5.05E-01,4.95E-01,4.71E-01,5.29E-01,8.31E-01,2.41E-02,1.03E-01,1.62E-02,1.56E-03,2.33E-02,1.48E-01,1.39E-01,1.39E-01,1.21E-01,1.26E-01,1.37E-01,1.03E-01,5.57E-02,1.4E-02,1.65E-02,87644.8,0.05438005391,0.1061756478,0.47,0,0.3333333333
5.05E-01,4.95E-01,4.85E-01,5.15E-01,8.23E-01,2.51E-02,1.09E-01,1.73E-02,1.54E-03,2.48E-02,1.41E-01,1.34E-01,1.39E-01,1.26E-01,1.14E-01,1.33E-01,1.16E-01,6.4E-02,1.47E-02,1.86E-02,91240.2,0.1284141959,0.2183455781,0.51,0,0.3333333333
5.15E-01,4.85E-01,1.82E-01,8.18E-01,7.11E-01,1.75E-01,9.56E-03,8.01E-02,1.28E-03,2.25E-02,1.29E-01,1.3E-01,1.46E-01,1.29E-01,1.42E-01,1.37E-01,9.65E-02,5.35E-02,1.55E-02,2.13E-02,1323401,0.4644654088,0.4294057975,0.58,0,0.275862069
5.15E-01,4.85E-01,1.89E-01,8.11E-01,7.01E-01,1.76E-01,9.67E-03,8.69E-02,1.34E-03,2.49E-02,1.27E-01,1.22E-01,1.47E-01,1.32E-01,1.28E-01,1.4E-01,1.07E-01,5.94E-02,1.49E-02,2.3E-02,1545988,0.6310197664,0.637084627,0.6,0,0.3333333333
5.13E-01,4.87E-01,8.61E-02,9.14E-01,7.18E-01,2.21E-01,1.56E-02,2.48E-02,1.14E-03,1.96E-02,1.4E-01,1.35E-01,1.35E-01,1.3E-01,1.41E-01,1.34E-01,1.01E-01,5.36E-02,1.34E-02,1.64E-02,439539.7,0.1271563342,0.07675755433,0.47,0.5,0.4615384615
5.13E-01,4.87E-01,9.17E-02,9.08E-01,7.1E-01,2.22E-01,1.58E-02,2.93E-02,1.21E-03,2.18E-02,1.34E-01,1.32E-01,1.37E-01,1.26E-01,1.33E-01,1.35E-01,1.11E-01,6.08E-02,1.38E-02,1.75E-02,520356.6,0.2135669362,0.1906489195,0.48,1,0.7692307692
4.92E-01,5.08E-01,2.49E-02,9.75E-01,8.99E-01,1.55E-02,5.55E-02,1.19E-02,5.68E-04,1.75E-02,1.4E-01,1.33E-01,1.63E-01,1.18E-01,1.19E-01,1.4E-01,9.19E-02,5.39E-02,1.7E-02,2.51E-02,51624.6,0.4966981132,0.4780055947,0.33,0.5,1
4.87E-01,5.13E-01,3.66E-02,9.63E-01,8.78E-01,2.95E-02,5.58E-02,1.52E-02,6.42E-04,2.08E-02,1.48E-01,1.27E-01,1.67E-01,1.3E-01,1.06E-01,1.29E-01,1E-01,5.29E-02,1.5E-02,2.47E-02,0.008288032196,0.4160826595,0.5353970059,0.38,0.5,1
5.11E-01,4.89E-01,3.28E-02,9.67E-01,8.33E-01,1.25E-01,2.65E-03,1.85E-02,4.82E-04,1.97E-02,1.35E-01,1.36E-01,1.3E-01,1.2E-01,1.37E-01,1.46E-01,1.02E-01,5.68E-02,1.62E-02,2.11E-02,0.1937731308,0.1645103324,0.228581968,0.47,0.5,0.7222222222
5.1E-01,4.9E-01,3.69E-02,9.63E-01,8.23E-01,1.29E-01,2.8E-03,2.26E-02,5.48E-04,2.21E-02,1.32E-01,1.3E-01,1.34E-01,1.22E-01,1.25E-01,1.43E-01,1.15E-01,6.19E-02,1.52E-02,2.2E-02,0.2243007116,0.2676999102,0.362239095,0.45,0.5,0.75
5.05E-01,4.95E-01,9.38E-02,9.06E-01,7.55E-01,7.64E-02,9.09E-02,1.96E-02,1.6E-03,5.69E-02,1.51E-01,1.37E-01,1.44E-01,1.26E-01,1.26E-01,1.33E-01,9.72E-02,5.58E-02,1.41E-02,1.72E-02,0.05463053355,0.1832659479,0.08130706096,0.35,1,0.8
5.04E-01,4.96E-01,1.04E-01,8.96E-01,7.45E-01,7.77E-02,9.3E-02,2.28E-02,1.88E-03,5.97E-02,1.49E-01,1.35E-01,1.42E-01,1.31E-01,1.17E-01,1.3E-01,1.04E-01,6E-02,1.42E-02,1.81E-02,0.05636173754,0.1926999102,0.1719897944,0.35,1,1
5.05E-01,4.95E-01,1.21E-01,8.79E-01,8.83E-01,1.99E-02,1.78E-02,4.08E-02,4.07E-03,3.45E-02,1.31E-01,1.27E-01,1.37E-01,1.33E-01,1.31E-01,1.41E-01,1.1E-01,5.49E-02,1.46E-02,2.09E-02,0.05508046038,0.1413746631,0.2223417663,0.47,0,0.2
5.04E-01,4.96E-01,1.28E-01,8.72E-01,8.73E-01,2.13E-02,1.8E-02,4.6E-02,4.39E-03,3.74E-02,1.27E-01,1.2E-01,1.38E-01,1.38E-01,1.25E-01,1.32E-01,1.22E-01,6.38E-02,1.38E-02,2.05E-02,0.0702911891,0.2982479784,0.3657741846,0.53,0,0.2
5.12E-01,4.88E-01,6.16E-02,9.38E-01,8.33E-01,1.15E-01,3.33E-03,3.05E-02,6.13E-04,1.72E-02,1.25E-01,1.32E-01,1.32E-01,1.16E-01,1.39E-01,1.47E-01,1.05E-01,6.01E-02,1.86E-02,2.53E-02,0.2315372745,0.2854896676,0.3211398358,0.47,0.5,0.6315789474
5.1E-01,4.9E-01,7.04E-02,9.3E-01,8.23E-01,1.18E-01,3.71E-03,3.48E-02,7.16E-04,1.96E-02,1.23E-01,1.25E-01,1.34E-01,1.2E-01,1.25E-01,1.46E-01,1.18E-01,6.58E-02,1.7E-02,2.64E-02,0.2641696106,0.4157681941,0.4480341828,0.49,0.5,0.7222222222
5.16E-01,4.84E-01,1.34E-01,8.66E-01,8.57E-01,7.45E-02,9.34E-03,3.29E-02,1.62E-03,2.48E-02,1.19E-01,1.38E-01,1.4E-01,1.17E-01,1.42E-01,1.46E-01,1E-01,5.35E-02,1.74E-02,2.65E-02,0.008596524255,0.2914195867,0.3200024592,0.58,0,0
5.14E-01,4.86E-01,1.5E-01,8.5E-01,8.44E-01,8.07E-02,1.03E-02,3.6E-02,1.82E-03,2.71E-02,1.14E-01,1.31E-01,1.44E-01,1.21E-01,1.26E-01,1.47E-01,1.13E-01,6.03E-02,1.53E-02,2.67E-02,0.01083783203,0.3896451033,0.4783437337,0.55,0,0
5.14E-01,4.86E-01,5.18E-02,9.48E-01,6.83E-01,2.81E-01,5.36E-03,1.43E-02,8.66E-04,1.6E-02,1.37E-01,1.33E-01,1.37E-01,1.24E-01,1.35E-01,1.36E-01,1.1E-01,5.77E-02,1.34E-02,1.61E-02,0.05542142528,0.05080862534,0.08109188159,0.44,1,0.8333333333
